Week,cement,Iron
16-12-18,0,9
23-12-18,0,22
30-12-18,0,5
06-01-19,6,12
13-01-19,0,16
20-01-19,3,17
27-01-19,3,20
03-02-19,7,17
10-02-19,0,16
17-02-19,0,11
24-02-19,6,9
03-03-19,0,11
10-03-19,0,7
17-03-19,3,12
24-03-19,5,11
31-03-19,0,16
07-04-19,0,0
14-04-19,0,10
21-04-19,0,8
28-04-19,0,14
05-05-19,0,3
12-05-19,0,20
19-05-19,3,0
26-05-19,9,9
02-06-19,0,5
09-06-19,0,6
16-06-19,0,16
23-06-19,0,9
30-06-19,3,11
07-07-19,0,8
14-07-19,6,14
21-07-19,0,12
28-07-19,4,10
04-08-19,0,7
11-08-19,0,5
18-08-19,0,6
25-08-19,5,6
01-09-19,7,9
08-09-19,0,6
15-09-19,0,0
22-09-19,0,4
29-09-19,8,37
06-10-19,0,19
13-10-19,0,18
20-10-19,3,22
27-10-19,5,36
03-11-19,9,38
10-11-19,0,29
17-11-19,0,22
24-11-19,0,10
01-12-19,0,8
08-12-19,0,13
15-12-19,3,10
22-12-19,9,15
29-12-19,0,14
05-01-20,0,13
12-01-20,3,13
19-01-20,0,14
26-01-20,0,12
02-02-20,3,13
09-02-20,3,5
16-02-20,2,16
23-02-20,0,5
01-03-20,0,13
08-03-20,0,10
15-03-20,0,15
22-03-20,5,22
29-03-20,0,33
05-04-20,9,25
12-04-20,3,15
19-04-20,0,12
26-04-20,0,13
03-05-20,4,6
10-05-20,3,11
17-05-20,0,9
24-05-20,3,17
31-05-20,3,10
07-06-20,0,13
14-06-20,0,16
21-06-20,3,17
28-06-20,4,21
05-07-20,3,20
12-07-20,2,8
19-07-20,0,17
26-07-20,0,9
02-08-20,3,18
09-08-20,4,19
16-08-20,0,16
23-08-20,0,15
30-08-20,0,17
06-09-20,8,12
13-09-20,5,16
20-09-20,0,11
27-09-20,0,14
04-10-20,6,17
11-10-20,0,21
18-10-20,7,10
25-10-20,2,3
01-11-20,0,7
08-11-20,2,10
15-11-20,4,16
22-11-20,0,9
29-11-20,2,14
06-12-20,0,26
13-12-20,0,28
20-12-20,3,41
27-12-20,0,40
03-01-21,0,39
10-01-21,6,49
17-01-21,4,35
24-01-21,4,33
31-01-21,4,37
07-02-21,0,32
14-02-21,4,35
21-02-21,6,32
28-02-21,9,34
07-03-21,0,39
14-03-21,0,30
21-03-21,3,32
28-03-21,0,28
04-04-21,4,31
11-04-21,0,19
18-04-21,6,27
25-04-21,0,27
02-05-21,4,34
09-05-21,0,23
16-05-21,0,38
23-05-21,5,38
30-05-21,5,35
06-06-21,0,50
13-06-21,0,34
20-06-21,3,31
27-06-21,5,35
04-07-21,6,32
11-07-21,3,36
18-07-21,0,23
25-07-21,0,22
01-08-21,0,24
08-08-21,9,25
15-08-21,0,19
22-08-21,3,22
29-08-21,4,10
05-09-21,3,13
12-09-21,3,15
19-09-21,0,30
26-09-21,0,20
03-10-21,3,15
10-10-21,3,22
17-10-21,5,48
24-10-21,0,22
31-10-21,0,33
07-11-21,0,34
14-11-21,3,35
21-11-21,8,36
28-11-21,0,32
05-12-21,0,30
12-12-21,2,32
19-12-21,0,25
26-12-21,0,23
02-01-22,2,34
09-01-22,3,16
16-01-22,0,15
23-01-22,3,16
30-01-22,4,14
06-02-22,2,15
13-02-22,10,14
20-02-22,4,17
27-02-22,5,34
06-03-22,13,67
13-03-22,11,64
20-03-22,11,81
27-03-22,2,56
03-04-22,8,41
10-04-22,2,39
17-04-22,6,37
24-04-22,7,31
01-05-22,2,41
08-05-22,4,36
15-05-22,6,72
22-05-22,2,65
29-05-22,7,57
05-06-22,2,50
12-06-22,3,39
19-06-22,4,36
26-06-22,2,33
03-07-22,0,28
10-07-22,2,33
17-07-22,3,35
24-07-22,0,22
31-07-22,2,16
07-08-22,2,27
14-08-22,2,24
21-08-22,0,14
28-08-22,0,13
04-09-22,4,18
11-09-22,0,20
18-09-22,3,21
25-09-22,2,21
02-10-22,0,13
09-10-22,0,15
16-10-22,0,13
23-10-22,7,23
30-10-22,3,31
06-11-22,0,19
13-11-22,0,20
20-11-22,3,22
27-11-22,2,29
04-12-22,0,39
11-12-22,0,38
18-12-22,4,62
25-12-22,0,58
01-01-23,0,45
08-01-23,7,42
15-01-23,1,28
22-01-23,0,30
29-01-23,0,27
05-02-23,5,15
12-02-23,1,19
19-02-23,0,24
26-02-23,0,31
05-03-23,0,31
12-03-23,0,51
19-03-23,0,66
26-03-23,2,53
02-04-23,0,53
09-04-23,2,45
16-04-23,4,24
23-04-23,3,36
30-04-23,0,40
07-05-23,0,48
14-05-23,2,100
21-05-23,2,65
28-05-23,3,53
04-06-23,3,35
11-06-23,0,27
18-06-23,6,34
25-06-23,2,22
02-07-23,0,37
09-07-23,0,26
16-07-23,0,26
23-07-23,0,17
30-07-23,6,24
06-08-23,2,24
13-08-23,2,31
20-08-23,0,28
27-08-23,0,30
03-09-23,0,21
10-09-23,0,17
17-09-23,0,22
24-09-23,0,15
01-10-23,3,17
08-10-23,0,21
15-10-23,0,20
22-10-23,8,31
29-10-23,8,43
05-11-23,2,37
12-11-23,2,33
19-11-23,2,22
26-11-23,0,22
03-12-23,0,23
10-12-23,0,16
